Scope,Example,Sequence,Detector,DetectorMinScore,Tracker,Frames,Detections,GroundTruthCount,IgnoredCount,PredictionCount,Matches,RuntimeSeconds,MsPerFrame,PredictionsPerFrame,MeanActiveTracks,MaxActiveTracks,MOTA,MOTP,IDF1,FAF,MT,ML,FP,FN,IDSW,Frag
sequence,MOT17-02,MOT17-02-DPM,DPM,0.0,Naive IoU,600,4233,18581,11422,5765,3576,0.06650860188528895,0.11084766980881493,9.608333333333333,9.893333333333333,17,0.06393627899467198,0.7523684741365785,0.15904049946603138,3.6483333333333334,3,44,2189,15005,199,339
sequence,MOT17-02,MOT17-02-DPM,DPM,0.0,SORT,600,4233,18581,11422,3215,2964,0.3769174993503839,0.6281958322506398,5.358333333333333,7.925,14,0.1419191647381734,0.7709955948465697,0.15608368507983117,0.41833333333333333,1,45,251,15617,76,110
sequence,MOT17-02,MOT17-02-DPM,DPM,0.0,DeepSORT,600,4233,18581,11422,4290,3649,5.254874196834862,8.758123661391437,7.15,11.988333333333333,19,0.1579032344868414,0.7596414547712297,0.19701805780245726,1.0683333333333334,5,44,641,14932,74,161
sequence,MOT17-02,MOT17-02-DPM,DPM,0.0,MyDeepSORT2,600,4233,18581,11422,4063,3532,1.7845672003459185,2.9742786672431976,6.7716666666666665,11.915,18,0.15892578440342287,0.7628055198109419,0.21100512276982866,0.885,4,44,531,15049,48,126
sequence,MOT17-02,MOT17-02-FRCNN,FRCNN,0.0,Naive IoU,600,8186,18581,11422,8086,6584,0.15845009963959455,0.26408349939932424,13.476666666666667,15.465,22,0.2660244335611646,0.8757489377075623,0.3479206509918626,2.5033333333333334,7,29,1502,11997,139,207
sequence,MOT17-02,MOT17-02-FRCNN,FRCNN,0.0,SORT,600,8186,18581,11422,6452,6246,0.678590000839904,1.1309833347331733,10.753333333333334,14.096666666666666,19,0.32038103438996823,0.8767874855338508,0.35856669196660407,0.3433333333333333,6,32,206,12335,87,104
sequence,MOT17-02,MOT17-02-FRCNN,FRCNN,0.0,DeepSORT,600,8186,18581,11422,7043,6607,13.999872401356697,23.33312066892783,11.738333333333333,18.726666666666667,26,0.3274312469727141,0.8548298650659629,0.3549016546987199,0.7266666666666667,7,28,436,11974,87,138
sequence,MOT17-02,MOT17-02-FRCNN,FRCNN,0.0,MyDeepSORT2,600,8186,18581,11422,6887,6526,2.684426598949358,4.474044331582263,11.478333333333333,19.69,28,0.3279156127226737,0.8572456745009714,0.3997958222082613,0.6016666666666667,7,29,361,12055,72,125
sequence,MOT17-02,MOT17-02-SDP,SDP,0.0,Naive IoU,600,11639,18581,11422,13584,9074,0.34231940121389925,0.5705323353564987,22.64,25.788333333333334,39,0.2223776976481352,0.8010415569005356,0.33645266594124046,7.516666666666667,11,15,4510,9507,432,868
sequence,MOT17-02,MOT17-02-SDP,SDP,0.0,SORT,600,11639,18581,11422,8049,7833,1.0461956006474793,1.7436593344124656,13.415,21.423333333333332,30,0.40051665679995696,0.8326710220893674,0.3755914382275629,0.36,8,20,216,10748,175,266
sequence,MOT17-02,MOT17-02-SDP,SDP,0.0,DeepSORT,600,11639,18581,11422,10161,9300,26.58599669695832,44.30999449493053,16.935,30.368333333333332,40,0.4418492007965126,0.80994670194798,0.40414724097140076,1.435,11,15,861,9281,229,435
sequence,MOT17-02,MOT17-02-SDP,SDP,0.0,MyDeepSORT2,600,11639,18581,11422,9723,9095,3.84820250258781,6.41367083764635,16.205,30.45,42,0.44819977396265004,0.813592797627314,0.4489824759751272,1.0466666666666666,10,16,628,9486,139,372
sequence,MOT17-04,MOT17-04-DPM,DPM,0.0,Naive IoU,1050,22903,47557,60448,29951,19408,0.7805049007292837,0.7433380006945559,28.524761904761906,28.986666666666668,43,0.175725970940135,0.784393261507102,0.29111833617175004,10.040952380952382,6,33,10543,28149,508,1345
sequence,MOT17-04,MOT17-04-DPM,DPM,0.0,SORT,1050,22903,47557,60448,18605,17103,2.161536802072078,2.0586064781638838,17.71904761904762,24.105714285714285,37,0.3208360493723321,0.804324321734819,0.3002629908406638,1.4304761904761905,5,35,1502,30454,343,516
sequence,MOT17-04,MOT17-04-DPM,DPM,0.0,DeepSORT,1050,22903,47557,60448,23637,20109,67.3008264999371,64.09602523803534,22.51142857142857,32.84,45,0.3430409824000673,0.7909262043685488,0.3648902997443605,3.36,7,32,3528,27448,267,703
sequence,MOT17-04,MOT17-04-DPM,DPM,0.0,MyDeepSORT2,1050,22903,47557,60448,22654,19784,8.327729599783197,7.931171047412569,21.575238095238095,32.04952380952381,46,0.3524192022204933,0.792669975960235,0.417085641850992,2.7333333333333334,6,32,2870,27773,154,612
sequence,MOT17-04,MOT17-04-FRCNN,FRCNN,0.0,Naive IoU,1050,28406,47557,60448,27382,26518,0.898763096658513,0.8559648539604885,26.078095238095237,27.791428571428572,34,0.5375444203797548,0.8932968079433269,0.5580271954523012,0.8228571428571428,19,22,864,21039,90,164
sequence,MOT17-04,MOT17-04-FRCNN,FRCNN,0.0,SORT,1050,28406,47557,60448,26116,26075,2.599407001864165,2.4756257160611095,24.87238095238095,27.249523809523808,34,0.5456189414807494,0.8968057050608856,0.5590922047425787,0.039047619047619046,17,24,41,21482,86,94
sequence,MOT17-04,MOT17-04-FRCNN,FRCNN,0.0,DeepSORT,1050,28406,47557,60448,26594,26437,101.42702589835972,96.59716752224735,25.32761904761905,29.64952380952381,36,0.5514855857181908,0.8893032563559541,0.560450971665925,0.14952380952380953,19,22,157,21120,53,105
sequence,MOT17-04,MOT17-04-FRCNN,FRCNN,0.0,MyDeepSORT2,1050,28406,47557,60448,26569,26425,9.621187097625807,9.163035331072198,25.303809523809523,29.973333333333333,36,0.5517589419012974,0.8894434053091212,0.6192429107195856,0.13714285714285715,18,22,144,21132,41,106
sequence,MOT17-04,MOT17-04-SDP,SDP,0.0,Naive IoU,1050,37150,47557,60448,38313,36317,1.522080400492996,1.449600381421901,36.488571428571426,37.22857142857143,45,0.7155413503795446,0.8476995698784923,0.648142541050425,1.900952380952381,43,11,1996,11240,292,806
sequence,MOT17-04,MOT17-04-SDP,SDP,0.0,SORT,1050,37150,47557,60448,34966,34916,3.6713053034618497,3.496481241392238,33.30095238095238,36.10190476190476,43,0.7289147759530669,0.8761818393162955,0.6364286320177405,0.047619047619047616,40,12,50,12641,201,351
sequence,MOT17-04,MOT17-04-SDP,SDP,0.0,DeepSORT,1050,37150,47557,60448,36725,36571,172.6323532005772,164.41176495293067,34.976190476190474,38.42761904761905,45,0.7626847782660807,0.8663763549819361,0.6904677155264469,0.14666666666666667,45,10,154,10986,146,360
sequence,MOT17-04,MOT17-04-SDP,SDP,0.0,MyDeepSORT2,1050,37150,47557,60448,36588,36432,13.060170997167006,12.438258092540005,34.84571428571429,38.83428571428571,47,0.7602876548142229,0.86685708419845,0.7189494325271852,0.14857142857142858,45,12,156,11125,119,350
sequence,MOT17-05,MOT17-05-DPM,DPM,0.0,Naive IoU,837,2836,6917,1096,4450,2485,0.037039900897070765,0.04425316714106423,5.316606929510155,5.316606929510155,14,0.053491398004915425,0.7606808382067496,0.2699041083839184,2.347670250896057,8,64,1965,4432,150,228
sequence,MOT17-05,MOT17-05-DPM,DPM,0.0,SORT,837,2836,6917,1096,1988,1867,0.25988339772447944,0.3104939040913733,2.3751493428912784,3.915173237753883,12,0.24360271794130403,0.779873496048736,0.31128579449747334,0.14456391875746716,2,84,121,5050,61,86
